Row,Column,PercIn,PercOut
48,67,0.3496952472264074,0.3608238597452404
47,69,0.3496952472264074,0.3573996712779071
52,65,0.38136899054923984,0.34027872894124095
40,57,0.3663881660046569,0.3317182577729078
47,70,0.3407067524996576,0.31331324476099165
47,71,0.3548315299274072,0.3098890562936584
39,23,0.39121353239282286,0.29319613751540885
48,68,0.32101766881249144,0.28677578413915905
21,112,0.22642446240241063,0.27307903026982605
47,68,0.31331324476099165,0.24739761676482674
59,70,0.23755307492124367,0.24354540473907685
49,64,0.22599643884399395,0.23712505136282702
58,67,0.17634570606766198,0.22043213258457744
48,65,0.19817490754691136,0.2200041090261608
42,80,0.1742055882755787,0.21957608546774415
46,70,0.2687987946856595,0.20416723736474454
62,85,0.19603478975482813,0.20331119024791125
54,51,0.19475071907957814,0.2028831666894946
46,68,0.2893439254896589,0.2015990960142446
51,78,0.2152958498835776,0.20074304889741132
50,49,0.1596527872894124,0.19731886043007807
48,64,0.18619024791124503,0.19646281331324478
39,25,0.1579406930557458,0.19389467196274485
46,67,0.21786399123407754,0.1921825777290782
44,68,0.17548965895082866,0.1904704834954116
50,56,0.11899054923983016,0.19004245993699492
51,79,0.14638405697849607,0.18961443637857828
57,70,0.2456855225311601,0.18961443637857828
52,64,0.17677372962607862,0.18875838926174499
52,69,0.19560676619641143,0.18875838926174499
48,66,0.17548965895082866,0.18875838926174499
48,59,0.17548965895082866,0.1883303657033283
49,74,0.2379810984796603,0.18619024791124503
39,24,0.11299821942199698,0.18576222435282838
59,67,0.22514039172716066,0.18447815367757842
40,59,0.1703533762498288,0.18148198876866184
51,59,0.19603478975482813,0.18148198876866184
40,58,0.23412888645391045,0.17891384741816188
53,65,0.1913265306122449,0.17720175318449527
43,83,0.17891384741816188,0.1703533762498288
47,57,0.13696753869332967,0.1703533762498288
52,60,0.11299821942199698,0.1682132584577455
39,26,0.2255684152855773,0.1682132584577455
46,57,0.15066429256266264,0.1673572113409122
44,70,0.1635049993151623,0.16521709354882894
47,67,0.22214422681824408,0.16478906999041226
64,66,0.22599643884399395,0.16436104643199562
48,60,0.17548965895082866,0.16436104643199562
